annee,profession_sante,region,departement,hono_sans_depassement_moyens
2019,Autres médecins,84,03,179108
2016,Chirurgiens,6,976,0
2013,Masseurs-kinésithérapeutes,3,973,80887
2013,Médecins nucléaires,1,971,0
2021,Orthophonistes,84,74,49946
2010,Psychiatres,32,59,111396
2018,Pédicures-podologues,84,26,4057
2010,Ensemble des médecins,76,66,186373
2022,Hépato-gastro-entérologues,93,84,245081
2020,Ensemble des auxiliaires médicaux,53,56,67891
2010,Masseurs-kinésithérapeutes,27,71,87000
2010,Ensemble des médecins généralistes,75,17,125259
2019,Pédicures-podologues,76,81,3607
2015,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),52,72,154009
2012,Néphrologues,84,69,288796
2010,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),27,71,140799
2017,Pneumologues,84,03,320989
2017,Ensemble des médecins,3,973,241538
2020,Orthophonistes,27,58,48273
2014,Cardiologues,44,999,351188
2019,Rhumatologues,44,88,136644
2011,Pédicures-podologues,11,91,948
2022,Radiothérapeutes,1,971,0
2016,Stomatologues,27,25,148433
2021,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),52,999,264477
2012,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),44,67,179107
2013,Ensemble des médecins spécialistes (hors généralistes),1,971,278379
2015,Médecins pathologistes,52,999,656625
2013,Ensemble des médecins spécialistes (hors généralistes),76,32,224012
2015,Oto-rhino-laryngologistes,3,973,0
2016,Pédicures-podologues,32,62,5171
2011,Ensemble des chirurgiens-dentistes,76,48,141249
2018,Médecins vasculaires,3,973,0
2015,Anesthésistes-réanimateurs,11,999,271316
2014,Cardiologues,27,21,316783
2022,Autres médecins,93,999,149197
2019,Radiothérapeutes,52,44,2430006
2010,Infirmiers,84,43,76708
2016,Oto-rhino-laryngologistes,52,49,239292
2012,Ensemble des médecins,44,55,188484
2022,Radiothérapeutes,84,01,0
2022,Ensemble des médecins spécialistes (hors généralistes),75,17,341073
2013,Pédiatres,28,76,104239
2019,Orthophonistes,24,37,50027
2018,Médecins vasculaires,93,04,0
2016,Neurologues,84,69,167523
2012,Ensemble des chirurgiens-dentistes,94,2B,113809
2013,Ensemble des chirurgiens-dentistes,99,999,120599
2010,Ophtalmologues,94,2A,257325
2013,Psychiatres,53,56,133603
2019,Sages-femmes,76,31,57821
2015,Ensemble des médecins,75,40,184464
2016,Chirurgiens,27,71,240475
2012,Infirmiers,84,07,73729
2012,Orthophonistes,75,33,48287
2010,Orthophonistes,27,58,53774
2019,Ensemble des chirurgiens-dentistes,11,94,132894
2010,Médecins généralistes à expertise particulière (MEP),76,30,113291
2018,Psychiatres,44,67,122188
2014,Pédicures-podologues,28,76,2965
2017,Médecins généralistes à expertise particulière (MEP),24,999,177261
2014,Anesthésistes-réanimateurs,44,67,308746
2014,Hépato-gastro-entérologues,53,56,247860
2010,Rhumatologues,1,999,160643
2020,Cardiologues,76,65,367740
2015,Rhumatologues,24,37,160119
2019,Pneumologues,94,999,187304
2015,Anesthésistes-réanimateurs,93,999,241382
2019,Psychiatres,76,66,187482
2019,Anesthésistes-réanimateurs,94,2B,354013
2016,Sages-femmes,84,38,62780
2010,Ensemble des médecins spécialistes (hors généralistes),27,39,206144
2021,Médecins pathologistes,24,37,1078520
2016,Ensemble des médecins,84,01,190867
2018,Pédiatres,4,974,168265
2016,Néphrologues,76,12,0
2019,Orthoptistes,75,19,91750
2013,Hépato-gastro-entérologues,32,02,201449
2017,Ensemble des chirurgiens-dentistes,93,04,115575
2015,Ensemble des auxiliaires médicaux,52,72,70232
2019,Sages-femmes,84,01,59015
2017,Dermatologues,44,10,129153
2010,Chirurgiens,6,999,0
2013,Masseurs-kinésithérapeutes,75,17,79126
2013,Cardiologues,84,38,235900
2015,Masseurs-kinésithérapeutes,24,45,80651
2021,Médecins généralistes (hors médecins à expertise particulière - MEP),84,43,161947
2022,Autres médecins,28,61,0
2014,Orthoptistes,76,999,46531
2014,Chirurgiens,11,91,226559
2021,Hépato-gastro-entérologues,76,81,296624
2020,Ensemble des médecins généralistes,32,60,186284
2016,Psychiatres,84,999,112631
2022,Médecins généralistes à expertise particulière (MEP),53,999,159771
2010,Masseurs-kinésithérapeutes,32,02,99751
2022,Médecins vasculaires,84,63,186453
2018,Stomatologues,75,87,140574
2012,Pédicures-podologues,53,29,991
2022,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),75,23,174415
2020,Oto-rhino-laryngologistes,44,67,176802
2021,Pédiatres,2,999,167552
2011,Orthoptistes,11,78,40384
2022,Gynécologues médicaux et obstétriciens,76,34,234309
2011,Radiothérapeutes,11,92,1082305
2012,Oto-rhino-laryngologistes,94,2B,176807
2022,Anesthésistes-réanimateurs,75,40,128605
2018,Neurologues,75,64,193386
2015,Médecins généralistes à expertise particulière (MEP),84,999,132923
2015,Psychiatres,53,29,146786
2022,Autres médecins,28,999,179396
2017,Autres médecins,44,10,0
2019,Radiothérapeutes,28,999,2179778
2014,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),32,59,202878
2022,Pédiatres,93,84,158621
2014,Infirmiers,84,999,77514
2017,Ensemble des médecins spécialistes (hors généralistes),28,50,324857
2010,Oto-rhino-laryngologistes,75,79,167609
2017,Radiothérapeutes,76,48,0
2022,Gynécologues médicaux et obstétriciens,28,999,235665
2015,Psychiatres,27,89,182482
2018,Chirurgiens,84,74,247069
2014,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),28,76,143148
2019,Ensemble des chirurgiens-dentistes,28,14,165330
2015,Dermatologues,75,17,156800
2011,Gynécologues médicaux et obstétriciens,94,2A,228607
2016,Hépato-gastro-entérologues,52,85,199355
2018,Masseurs-kinésithérapeutes,84,03,87333
2021,Chirurgiens,75,19,227916
2019,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),53,35,254007
2011,Sages-femmes,75,17,57688
2017,Anesthésistes-réanimateurs,75,47,359490
2020,Médecins généralistes à expertise particulière (MEP),84,73,136663
2013,Gynécologues médicaux et obstétriciens,84,42,176254
2021,Gynécologues médicaux et obstétriciens,76,999,237380
2022,Sages-femmes,53,999,61181
2014,Médecins généralistes (hors médecins à expertise particulière - MEP),52,72,165517
2012,Médecins généralistes à expertise particulière (MEP),93,83,130826
2010,Radiologues,27,71,557556
2011,Pneumologues,4,999,206396
2010,Ophtalmologues,32,999,264222
2019,Gynécologues médicaux et obstétriciens,27,90,116714
2022,Neurologues,75,64,194816
2010,Médecins pathologistes,32,59,504408
2022,Masseurs-kinésithérapeutes,32,02,95386
2012,Néphrologues,76,48,0
2015,Ensemble des chirurgiens-dentistes,32,60,139632
2014,Autres médecins,93,84,112594
2020,Allergologues,94,999,0
2013,Masseurs-kinésithérapeutes,84,03,84148
2020,Hépato-gastro-entérologues,75,17,230468
2020,Stomatologues,44,999,190335
2021,Sages-femmes,27,999,67312
2018,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),94,2A,135922
2016,Masseurs-kinésithérapeutes,84,74,64505
2018,Ophtalmologues,24,999,379154
2010,Psychiatres,11,92,81762
2020,Médecins généralistes (hors médecins à expertise particulière - MEP),44,68,171748
2013,Ensemble des chirurgiens-dentistes,11,78,114219
2020,Pédicures-podologues,93,83,3239
2010,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),28,76,228622
2015,Ensemble des chirurgiens-dentistes,76,48,134371
2018,Masseurs-kinésithérapeutes,6,999,75889
2022,Anesthésistes-réanimateurs,75,87,321384
2011,Psychiatres,76,34,141266
2012,Masseurs-kinésithérapeutes,6,976,58580
2011,Masseurs-kinésithérapeutes,1,971,73820
2022,Hépato-gastro-entérologues,27,999,274804
2022,Rhumatologues,99,999,156186
2022,Ensemble des médecins spécialistes (hors généralistes),28,27,413002
2017,Stomatologues,3,973,0
2018,Sages-femmes,84,999,57511
2016,Orthoptistes,93,999,53621
2011,Hépato-gastro-entérologues,11,77,243730
2018,Pédicures-podologues,76,09,3280
2012,Ophtalmologues,28,76,264851
2021,Pédiatres,75,999,130151
2022,Pneumologues,84,74,162535
2021,Médecins généralistes à expertise particulière (MEP),52,44,183762
2021,Orthoptistes,93,06,69424
2016,Pédiatres,32,02,181526
2022,Pédicures-podologues,44,67,7162
2013,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),24,37,219936
2018,Autres médecins,11,93,155237
2017,Cardiologues,44,54,490098
2012,Radiologues,84,26,507858
2022,Radiologues,84,73,471129
2019,Médecins pathologistes,24,37,863754
2010,Psychiatres,52,49,104016
2014,Oto-rhino-laryngologistes,75,999,198746
2014,Médecins nucléaires,75,47,0
2014,Ophtalmologues,6,999,0
2017,Ensemble des médecins spécialistes (hors généralistes),11,94,220712
2015,Radiothérapeutes,93,13,1804896
2012,Ensemble des médecins spécialistes (hors généralistes),52,85,258338
2012,Ophtalmologues,44,51,234935
2011,Néphrologues,84,26,0
2015,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),75,40,158880
2017,Ensemble des médecins généralistes,99,999,162540
2014,Radiothérapeutes,84,07,0
2021,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),24,41,154213
2014,Ophtalmologues,84,43,208572
2022,Médecins nucléaires,11,91,0
2014,Hépato-gastro-entérologues,76,65,184219
2018,Radiologues,84,01,543020
2013,Ensemble des médecins spécialistes (hors généralistes),44,57,287201
2011,Ensemble des chirurgiens-dentistes,75,999,112926
2015,Psychiatres,76,81,84670
2018,Infirmiers,93,84,88081
2014,Dermatologues,76,81,150446
2022,Orthophonistes,32,999,58264
2019,Ensemble des médecins généralistes,44,54,171284
2011,Dermatologues,28,76,139570
2019,Dermatologues,28,50,194588
2019,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),52,53,318300
2018,Médecins pathologistes,84,38,476825
2012,Anesthésistes-réanimateurs,44,999,313912
2014,Médecins généralistes (hors médecins à expertise particulière - MEP),27,58,180379
2017,Orthophonistes,93,83,60876
2017,Stomatologues,27,25,151783
2018,Cardiologues,75,19,250264
2014,Ensemble des médecins généralistes,84,69,129670
2011,Ensemble des chirurgiens-dentistes,44,57,139264
2012,Psychiatres,1,999,131160
2015,Infirmiers,24,18,85444
2022,Dermatologues,76,09,0
2013,Ensemble des médecins spécialistes (hors généralistes),76,81,262648
2017,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),84,73,212872
2015,Ensemble des chirurgiens-dentistes,99,999,128516
2010,Médecins nucléaires,4,999,0
2015,Stomatologues,27,90,0
2014,Ensemble des auxiliaires médicaux,84,15,84405
2015,Ensemble des médecins généralistes,84,69,127593
2011,Ophtalmologues,84,01,250652
2010,Gynécologues médicaux et obstétriciens,53,56,162276
2016,Chirurgiens,76,11,263804
2018,Pneumologues,2,999,341638
2017,Ensemble des médecins généralistes,27,58,195990
2015,Ensemble des médecins généralistes,24,36,164312
2014,Ensemble des médecins généralistes,27,58,178908
2013,Ophtalmologues,93,999,235291
2012,Psychiatres,27,25,112409
2018,Hépato-gastro-entérologues,53,56,233888
2019,Néphrologues,27,25,0
2014,Stomatologues,76,46,0
2010,Cardiologues,11,77,263696
2017,Infirmiers,24,999,82180
2012,Radiologues,75,86,468899
2022,Ensemble des médecins généralistes,93,83,177203
2020,Autres médecins,76,46,0
2020,Chirurgiens,27,89,272553
2015,Infirmiers,1,971,116918
2010,Pneumologues,84,42,174152
2019,Gynécologues médicaux et obstétriciens,44,54,199031
2011,Anesthésistes-réanimateurs,11,95,364811
2017,Médecins généralistes (hors médecins à expertise particulière - MEP),44,67,166946
2010,Ensemble des auxiliaires médicaux,76,82,69772
2013,Dermatologues,52,44,137975
2012,Anesthésistes-réanimateurs,28,27,243993
2011,Autres médecins,53,56,90383
2019,Infirmiers,76,48,83252
2014,Endocrinologues,94,999,146585
2017,Oto-rhino-laryngologistes,94,999,165859
2021,Médecins généralistes (hors médecins à expertise particulière - MEP),84,03,183006
2014,Infirmiers,75,79,69461
2017,Sages-femmes,76,11,47237
2017,Autres médecins,75,23,0
2020,Médecins généralistes (hors médecins à expertise particulière - MEP),44,08,186949
2012,Médecins généralistes (hors médecins à expertise particulière - MEP),75,16,143590
2018,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),75,17,124322
2012,Pédicures-podologues,44,67,2026
2010,Radiologues,84,74,436996
2010,Ensemble des auxiliaires médicaux,84,03,74110
2014,Orthophonistes,94,2B,47499
2011,Ensemble des médecins spécialistes (hors généralistes),94,2A,255226
2016,Neurologues,4,999,322573
2020,Radiologues,53,56,446500
2022,Endocrinologues,76,31,144017
2010,Infirmiers,84,74,69556
2019,Orthoptistes,75,999,66537
2015,Anesthésistes-réanimateurs,24,45,342985
2010,Médecins nucléaires,2,972,0
2014,Médecins généralistes (hors médecins à expertise particulière - MEP),53,999,147677
2016,Ensemble des médecins,52,999,213661
2014,Pédicures-podologues,11,93,2117
2011,Masseurs-kinésithérapeutes,76,30,82426
2021,Orthoptistes,32,62,76625
2014,Ensemble des médecins spécialistes (hors généralistes),84,43,247467
2021,Cardiologues,11,999,297150
2013,Ensemble des médecins généralistes,11,95,147931
2019,Orthoptistes,76,34,67314
2010,Médecins généralistes (hors médecins à expertise particulière - MEP),28,61,141750
2015,Ophtalmologues,75,24,299071
2022,Psychiatres,84,73,133299
2017,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),27,999,151587
2021,Cardiologues,11,92,306076
2020,Ensemble des auxiliaires médicaux,75,87,80967
2010,Ensemble des auxiliaires médicaux,11,78,59228
2018,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),75,64,111080
2020,Cardiologues,94,999,241597
2020,Orthophonistes,11,95,53787
2018,Cardiologues,11,78,289926
2019,Médecins généralistes à expertise particulière (MEP),32,80,166319
2021,Ensemble des chirurgiens-dentistes,53,56,149208
2014,Psychiatres,44,54,98798
2022,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),84,42,352116
2021,Orthophonistes,28,27,56686
2010,Ophtalmologues,93,06,192216
2010,Ensemble des auxiliaires médicaux,24,37,63910
2018,Sages-femmes,11,95,68626
2013,Endocrinologues,11,92,66569
2021,Masseurs-kinésithérapeutes,76,999,83935
2015,Pédicures-podologues,24,45,2197
2012,Orthophonistes,24,999,50826
2013,Orthophonistes,32,60,58563
2011,Infirmiers,27,70,83358
2021,Infirmiers,93,05,83223
2013,Orthophonistes,93,06,57766
2013,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),93,83,147893
2018,Rhumatologues,84,74,103637
2018,Ensemble des médecins généralistes,24,41,168624
2016,Gynécologues médicaux et obstétriciens,76,12,230291
2012,Anesthésistes-réanimateurs,84,07,297290
2017,Orthophonistes,44,52,52117
2014,Psychiatres,24,41,136655
2022,Ensemble des médecins généralistes,28,14,179467
2022,Infirmiers,44,55,99290
2020,Sages-femmes,44,08,89576
2012,Gynécologues médicaux et obstétriciens,28,999,165740
2015,Anesthésistes-réanimateurs,94,2B,413292
2018,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),32,999,152968
2019,Hépato-gastro-entérologues,44,999,255680
2013,Radiologues,24,37,464040
2020,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),6,976,0
2018,Chirurgiens,84,07,272086
2018,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),76,32,116464
2017,Ophtalmologues,84,69,304260
2016,Médecins généralistes (hors médecins à expertise particulière - MEP),93,83,152198
2013,Pédicures-podologues,53,56,1047
2015,Radiologues,27,70,491992
2017,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),76,65,114000
2019,Neurologues,76,09,0
2014,Cardiologues,32,62,331784
2010,Ensemble des chirurgiens-dentistes,11,77,117021
2020,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),76,81,246345
2015,Radiothérapeutes,76,999,1691910
2016,Ensemble des médecins spécialistes (hors généralistes),11,75,156217
2013,Cardiologues,84,43,175238
2022,Cardiologues,32,02,242335
2013,Médecins pathologistes,28,14,464158
2019,Allergologues,94,2A,0
2020,Ophtalmologues,24,41,277926
2011,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),28,50,142742
2020,Gynécologues médicaux et obstétriciens,93,06,207191
2021,Gynécologues médicaux et obstétriciens,84,07,200480
2018,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),75,86,181700
2019,Ophtalmologues,93,83,337917
2014,Masseurs-kinésithérapeutes,3,999,83454
2010,Ophtalmologues,1,999,220391
2017,Chirurgiens,11,94,208566
2016,Ensemble des chirurgiens-dentistes,52,999,145113
2018,Neurologues,84,38,260188
2014,Dermatologues,44,52,179361
2022,Cardiologues,24,37,388635
2015,Chirurgiens,44,57,195688
2021,Neurologues,94,999,0
2014,Pédicures-podologues,75,16,1463
2016,Médecins généralistes à expertise particulière (MEP),11,77,172823
2011,Pédicures-podologues,32,80,960
2022,Médecins généralistes à expertise particulière (MEP),84,38,151640
2019,Hépato-gastro-entérologues,4,999,246749
2017,Dermatologues,53,56,191158
2013,Masseurs-kinésithérapeutes,28,14,84591
2020,Cardiologues,84,63,309031
2020,Infirmiers,93,999,103614
2020,Médecins généralistes (hors médecins à expertise particulière - MEP),32,62,202482
2012,Pneumologues,44,57,261716
2016,Ensemble des médecins généralistes,93,04,152119
2015,Pneumologues,93,999,183180
2011,Médecins nucléaires,44,54,757740
2020,Neurologues,94,2A,0
2013,Orthoptistes,93,999,51038
2020,Oto-rhino-laryngologistes,4,999,368986
2012,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),6,999,58850
2014,Radiologues,32,999,573855
2014,Médecins nucléaires,4,974,0
2012,Ensemble des chirurgiens-dentistes,24,999,139986
2016,Hépato-gastro-entérologues,84,38,185613
2022,Stomatologues,75,16,0
2022,Gynécologues médicaux et obstétriciens,44,57,286963
2020,Infirmiers,84,26,77705
2018,Rhumatologues,75,64,195555
2011,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),84,73,117204
2017,Ensemble des auxiliaires médicaux,52,72,73397
2014,Ensemble des médecins spécialistes (hors généralistes),75,16,266776
2010,Cardiologues,2,999,464558
2018,Ophtalmologues,53,35,383007
2015,Oto-rhino-laryngologistes,44,999,204312
2017,Médecins nucléaires,84,43,0
2020,Pédiatres,2,999,138767
2015,Radiothérapeutes,75,17,1382291
2010,Endocrinologues,84,38,71008
2013,Infirmiers,4,999,127951
2022,Gynécologues médicaux et obstétriciens,44,999,220893
2014,Anesthésistes-réanimateurs,2,999,276275
2014,Sages-femmes,75,64,45043
2020,Stomatologues,76,48,0
2018,Pédicures-podologues,84,73,1972
2013,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),75,64,129776
2012,Psychiatres,53,56,132884
2010,Pédiatres,3,973,0
2010,Pneumologues,32,62,271902
2022,Orthoptistes,11,92,63540
2020,Endocrinologues,44,52,0
2014,Orthophonistes,99,999,52910
2021,Médecins vasculaires,4,999,253495
2022,Ensemble des médecins,44,67,237993
2021,Stomatologues,1,971,0
2013,Ensemble des auxiliaires médicaux,3,973,99042
2022,Cardiologues,75,64,357630
2015,Chirurgiens,24,37,241565
2012,Ensemble des médecins,75,23,162435
2011,Néphrologues,32,59,316729
2022,Gynécologues médicaux et obstétriciens,93,83,221450
2019,Radiothérapeutes,75,17,2809663
2012,Neurologues,99,999,173217
2013,Ensemble des auxiliaires médicaux,75,33,73915
2020,Infirmiers,27,90,94414
2014,Radiologues,11,91,536678
2021,Médecins généralistes à expertise particulière (MEP),75,40,171726
2016,Médecins généralistes à expertise particulière (MEP),94,2A,160429
2020,Oto-rhino-laryngologistes,44,51,291839
2022,Gynécologues médicaux et obstétriciens,52,44,212966
2020,Masseurs-kinésithérapeutes,27,999,71257
2022,Gynécologues médicaux et obstétriciens,75,86,232361
2014,Ensemble des médecins,24,999,204533
2014,Médecins généralistes à expertise particulière (MEP),84,07,143784
2016,Ensemble des médecins généralistes,28,50,163989
2018,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),84,42,153371
2010,Anesthésistes-réanimateurs,11,999,250692
2011,Cardiologues,44,51,317072
2021,Pédicures-podologues,27,39,3879
2011,Orthophonistes,76,82,50980
2021,Hépato-gastro-entérologues,44,57,322424
2018,Chirurgiens,75,16,302436
2022,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),11,94,195589
2019,Hépato-gastro-entérologues,76,31,270489
2014,Néphrologues,53,35,0
2015,Stomatologues,75,40,191894
2020,Ophtalmologues,75,24,348645
2017,Sages-femmes,28,76,71166
2015,Chirurgiens,27,90,177298
2014,Médecins généralistes à expertise particulière (MEP),27,71,138621
2012,Neurologues,32,59,187037
2011,Hépato-gastro-entérologues,11,92,149811
2019,Psychiatres,75,33,101558
2015,Psychiatres,75,17,138428
2018,Ensemble des médecins généralistes,4,999,244350
2018,Médecins généralistes à expertise particulière (MEP),11,92,143629
2016,Sages-femmes,84,03,55688
2010,Anesthésistes-réanimateurs,52,49,298370
2015,Orthoptistes,52,53,58318
2016,Autres médecins,76,81,140657
2017,Stomatologues,76,34,148814
2018,Néphrologues,84,07,0
2010,Ensemble des médecins spécialistes (hors généralistes),52,72,307283
2011,Ensemble des auxiliaires médicaux,28,27,70711
2011,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),75,87,335628
2019,Ophtalmologues,52,72,497396
2014,Orthoptistes,75,33,46730
2016,Dermatologues,76,65,162909
2016,Ensemble des médecins spécialistes (hors généralistes),52,44,295532
2020,Radiologues,76,66,417963
2012,Orthoptistes,11,93,57850
2020,Ensemble des chirurgiens-dentistes,93,999,129236
2020,Ophtalmologues,27,58,323878
2013,Ensemble des médecins,93,999,171024
2010,Pédicures-podologues,44,57,1964
2012,Médecins généralistes à expertise particulière (MEP),75,79,135304
2022,Médecins généralistes (hors médecins à expertise particulière - MEP),6,976,265236
2011,Dermatologues,4,999,224023
2013,Endocrinologues,44,55,0
2016,Pédiatres,75,24,102752
2021,Médecins généralistes (hors médecins à expertise particulière - MEP),44,10,211113
2015,Médecins généralistes à expertise particulière (MEP),84,42,136175
2013,Ensemble des médecins spécialistes (hors généralistes),76,34,238658
2017,Neurologues,94,2A,0
2017,Ensemble des chirurgiens-dentistes,44,54,133618
2016,Dermatologues,84,03,176861
2014,Ensemble des auxiliaires médicaux,75,33,73698
2011,Dermatologues,44,68,160323
2016,Radiothérapeutes,76,48,0
2011,Psychiatres,84,43,108375
2020,Gynécologues médicaux et obstétriciens,1,971,223476
2010,Orthophonistes,84,69,43316
2012,Néphrologues,6,976,0
2018,Pédicures-podologues,75,64,1598
2016,Médecins nucléaires,84,01,0
2020,Cardiologues,76,81,372702
2017,Chirurgiens,76,34,266525
2020,Chirurgiens,44,57,214466
2020,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),1,971,145295
2018,Médecins pathologistes,32,59,752884
2020,Orthophonistes,27,25,38568
2013,Psychiatres,76,65,125387
2017,Orthophonistes,75,64,52839
2020,Masseurs-kinésithérapeutes,44,08,76088
2019,Médecins pathologistes,75,64,522657
2018,Gynécologues médicaux et obstétriciens,94,999,219805
2015,Neurologues,3,999,0
2019,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),84,42,360649
2014,Pédicures-podologues,93,999,2492
2010,Ophtalmologues,11,92,136685
2016,Hépato-gastro-entérologues,76,82,263901
2022,Psychiatres,84,63,144001
2022,Médecins généralistes (hors médecins à expertise particulière - MEP),76,12,167159
2010,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),76,48,128261
2010,Médecins nucléaires,2,999,0
2016,Ensemble des médecins spécialistes (hors généralistes),3,973,234343
2014,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),93,83,110352
2019,Autres médecins,93,999,134170
2017,Pédicures-podologues,93,13,4325
2013,Dermatologues,53,29,134773
2010,Médecins pathologistes,76,999,358358
2011,Endocrinologues,93,06,62920
2014,Pédiatres,84,26,119894
2012,Psychiatres,24,37,130270
2022,Orthoptistes,84,01,62654
2016,Chirurgiens,84,69,211823
